Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,organization,Gender,Gender encode
Paul C. Parsons,Associate Professor at Purdue University,19,30,1547,1121,Purdue University,male,1
Daniel B Shank,Missouri University of Science and Technology,19,33,1547,1210,Missouri University of Science and Technology,male,1
Michael Coblenz,"Assistant Professor, University of California San Diego",14,17,1545,649,University of California,female,0
Alexander Boden,Hochschule Bonn-Rhein-Sieg,22,35,1543,862,,male,1
Luana Micallef,"Human-Centered Computing, Department of Computer Science, University of Copenhagen",15,17,1543,887,University of Copenhagen,male,1
Ricardo Kawase,Mobile.de | Adevinta,19,34,1540,725,,male,1
Dr.Tobias Grundgeiger,Julius-Maximilians-Universität Würzburg,21,31,1539,841,,female,0
Ioannis Giannopoulos,"Professor for Geoinformation, Vienna University of Technology (TU Wien)",18,31,1537,1099,Vienna University of Technology,female,0
Donald McMillan,Stockholm University,21,31,1537,940,Stockholm University,male,1
Ryan M. Kelly,"Associate Professor, School of Computing Technologies, RMIT University",20,30,1536,1337,School of Computing Technologies,female,0
"Wei Xu, Ph.D.",Researcher/Professor;  HFES / IEA / APS Fellow,23,37,1536,1251,,female,0
Muhammad Aslam,"Professor at Department of Computer Science, University of Engineering and Technology, Lahore",18,47,1535,841,University of Engineering and Technology,female,0
Ammar Mahdhaoui,Data Scientist,12,13,1533,721,,female,0
Brian Dorn,"Associate Professor of Computer Science, University of Nebraska at Omaha",23,32,1533,656,University of Nebraska,male,1
Nicholas Kong,"Software Engineer, Google",11,12,1531,829,,male,1
Djoko Budiyanto Setyohadi,Universitas Atma Jaya Yogyakarta,20,39,1530,1331,,female,0
Masashi Crete-Nishihata,University of Toronto,18,28,1529,912,University of Toronto,female,0
sylvie gibet,Université de Bretagne Sud,22,46,1526,458,,male,1
Kai-Christoph Hamborg,"University of Osnabrück, Institute of Psychology",18,30,1525,404,University of Osnabrück,female,0
Tun LU,"Professor, School of Computer Science, Fudan University",20,46,1524,1023,School of Computer Science,female,0
Stefano Valtolina,"Associate Professor, Department of Computer Science, Università degli Studi - Milano",19,42,1524,962,,male,1
Sergio Sayago,Universitat de Lleida,18,36,1523,780,,female,0
Tianyi Zhang,"Assistant Professor of Computer Science, Purdue University",16,29,1522,1455,Purdue University,male,1
Kristy Milland,University of Toronto,12,14,1519,1276,University of Toronto,male,1
Artem Dementyev,Google Research,16,19,1517,942,,male,1
John Quarles,"Professor of Computer Science, University of Texas at San Antonio",22,48,1515,1055,University of Texas,male,1
Eva Garcia-Lopez,University of Alcala,15,25,1515,989,University of Alcala,female,0
Oskar Palinko,"SDU Robotics, University of Southern Denmark",16,20,1514,796,University of Southern Denmark,male,1
Murat Perit Çakır,"Associate Professor, Cognitive Science, Informatics Institute, Middle East Techincal University",19,33,1513,623,Informatics Institute,male,1
Pardis Emami-Naeini,"Assistant Professor, Computer Science Department, Duke University",13,15,1511,1418,Duke University,male,1
Michael Jugovac,TU Dortmund,14,16,1510,1350,,male,1
Christian P Janssen,"Assistant Professor, Experimental Psychology, Utrecht University",19,35,1509,1083,Utrecht University,female,0
Chenhan Xu,North Carolina State University,17,19,1509,1394,North Carolina State University,male,1
Maritza Johnson,University of San Diego,13,15,1508,712,University of San Diego,female,0
Simon D'Alfonso,School of Computing and Information Systems.The University of Melbourne,20,31,1508,1409,School of Computing and Information Systems,male,1
Alfredo Ferreira,INESC-ID Lisboa / Instituto Superior Técnico /  University of Lisbon,22,34,1506,838,University of Lisbon,female,0
Marcel Walch,Ulm University,19,28,1504,1238,Ulm University,female,0
Christopher Hanley,"Senior Systems Software Engineer, Space Telescope Science Institute",8,7,1503,483,Space Telescope Science Institute,female,0
Marta Larusdottir,"Professor in Computer Science, Reykjavik University",18,33,1501,741,Reykjavik University,female,0
Kathryn E. Ringland,"PhD in Informatics, University of California Santa Cruz",21,28,1498,1248,University of California,female,0
Xiaojun (Jenny) Yuan,University at Albany,20,34,1498,601,,female,0
Ana-Belén Gil-González (https://orcid.org/0000-0001-7235-6151),BISITE Research group. University of Salamanca,19,34,1497,960,,male,1
Ana Carolina Tomé Klock,Marie Skłodowska-Curie Postdoctoral Fellow at Gamification Group (TAU),18,28,1496,1388,,male,1
Y. Raghu Reddy,"Associate Professor, IIIT Hyderabad",18,29,1494,612,,male,1
Ricardo Tesoriero,Universidad de Castilla-La Mancha,17,30,1493,494,,male,1
"LI Jinhui, Kevin (李锦辉)","Professor, Jinan University (暨南大学); Associate Editor, Frontiers in Psychology",19,25,1493,1252,Jinan University,male,1
Takatsugu Hirayama,University of Human Environments,20,45,1493,796,University of Human Environments,female,0
Ryo Suzuki,"Assistant Professor at the University of Calgary, Department of Computer Science",20,26,1492,1309,the University of Calgary,male,1
Verkijika Silas,Sol Plaatje University,14,15,1491,1423,Sol Plaatje University,male,1
Derek Flood,"Lero, Dundalk Institute of Technology",13,15,1488,741,Dundalk Institute of Technology,male,1
Joseph Seering,"School of Computing, KAIST",17,21,1488,1450,School of Computing,male,1
Carlos Duarte,"LASIGE, Informática, Faculdade de Ciências, Universidade de Lisboa",19,39,1487,680,,female,0
Ilhan Aslan,"Huawei Technologies, Research Center, Germany",20,30,1487,866,,female,0
Jussi P. P. Jokinen,"Assistant Professor, University of Jyväskylä",23,33,1484,1086,University of Jyväskylä,female,0
Geng Shuang,Shenzhen University,12,12,1484,1470,Shenzhen University,male,1
Gregor Broll,adesso AG,21,32,1483,227,,male,1
Dr. Sharad Sharma,"Professor of Data Science, University of North Texas (UNT)",21,44,1481,898,University of North Texas,female,0
Roberto Pereira,Federal University of Paraná (UFPR),20,51,1481,960,Federal University of Paraná,male,1
Zijun Lin,London School of Economics and Political Science,2,2,1479,1472,London School of Economics and Political Science,male,1
Samuel Huron,"Associate Professor, SES, Interact, Telecom Paris, UMR 9217 i3 Institut Polytechnique de Paris",17,25,1478,1102,,male,1
Nicole Lee,independent researcher,4,4,1478,870,,male,1
Antonio Gentile,"Associate Professor, Dipartimento di Ingegneria, Universita' di Palermo",21,49,1477,331,,male,1
Maurizio Caon,"School of Management Fribourg, University of Applied Sciences and Arts Western Switzerland (HES-SO)",19,33,1477,1076,School of Management Fribourg,male,1
Aaron L. Gardony,"Cognitive Scientist, US Army Combat Capabilities Command - Soldier Center",20,26,1477,1023,,male,1
Sun Young Park,University of Michigan,19,31,1475,880,University of Michigan,female,0
Jim Wallace,"Associate Professor, University of Waterloo",25,38,1474,786,University of Waterloo,male,1
Luc Geurts,"Professor, KU Leuven",21,32,1474,723,,male,1
"Jennifer King, PhD",Stanford Institute for Human-Centered Artificial Intellgience,15,17,1473,504,Stanford Institute for Human-Centered,female,0
Tim Draws,OTTO,12,14,1472,1470,,female,0
Paul Janecek,"Think Blue Data Co., Ltd.",16,19,1471,343,,female,0
Ryan M. Schuetzler,Brigham Young University,17,22,1470,1162,Brigham Young University,male,1
Julian Ramos Rojas,"Research scientist - Reality Labs, Meta",14,15,1469,896,,female,0
Karen P. Tang,"Pittsburgh, PA",16,17,1468,289,,male,1
Stephan Schlögl,"Professor of Human-Centered Computing, MCI Management Center Innsbruck",20,33,1465,1261,,male,1
Célia Martinie,Associate Professor (HDR) - Head of the ICS group - IRIT - Université Paul Sabatier Toulouse 3,21,37,1465,797,,male,1
Dr. Pradipta Kumar Das,"Assistant Professor, Dept. of Information Technology, Veer Surendra Sai University of Technology",19,28,1464,1232,Veer Surendra Sai University of Technology,male,1
Naseem Ahmadpour,"Affective Interactionas lab, University of Sydney",18,38,1464,1350,University of Sydney,female,0
Jianfeng Ren,University of Nottingham Ningbo China,18,31,1461,922,University of Nottingham Ningbo,female,0
Philipp Brauner,"Postdoc, RWTH Aachen University",20,39,1460,1015,RWTH Aachen University,female,0
Mehmet Gokturk,Gebze Institute of Technology (Gebze Technical University),15,20,1459,543,Gebze Institute of Technology,male,1
Tommy Dang,Texas Tech University,21,33,1459,1179,Texas Tech University,male,1
Christos Mousas,"Associate Professor of Computer Graphics Technology, Polytechnic Institute, Purdue University",20,42,1458,1309,Polytechnic Institute,male,1
"Randi Williams, Ph.D.",Algorithmic Justice League (formerly MIT Media Lab),14,16,1456,1419,,male,1
Nobuchika Sakata,Ryukoku University,16,28,1455,545,Ryukoku University,male,1
Lilly Spirkovska,"Computer Scientist, NASA Ames Research Center",17,26,1455,301,,female,0
Alex Wilkie,"Professor of Design and Societies. Goldsmiths, University of London",16,21,1454,855,"Goldsmiths, University of London",female,0
Senthil Chandrasegaran,"Assistant Professor, TU Delft",14,22,1454,848,,female,0
Wiktoria Wilkowska,"RWTH Aachen University, HCI Center, Chair of Communication Science",19,29,1454,663,RWTH Aachen University,female,0
Caci Barbara,"Dipartimento di Scienze Psicologiche, Pedagogiche, dell'Esercizio Fisico e della Formazione",18,27,1453,772,,male,1
Anders Green,Södertörns Högskola,14,18,1450,370,,female,0
Shitala Prasad,"Scientist, Institute for Infocomm Research, A*Star, Singapore",21,33,1447,907,Institute for Infocomm Research,male,1
Samira Shaikh,"Assistant Professor of Computer Science, UNC Charlotte",20,35,1446,1107,,male,1
Abdallah Namoun,"Professor, Faculty of Computer and Information Systems, Islamic University of Madinah",20,37,1444,1030,Faculty of Computer and Information Systems,female,0
Benjamin Weyers,"Professor for Computer Science, Trier University",21,47,1444,1007,Trier University,female,0
Stephen Kimani,JKUAT,20,39,1444,574,,female,0
Manas Mittal,"MIT, UC Berkeley, Uber",7,7,1443,441,,female,0
Homei Miyashita,Meiji University,18,38,1443,807,Meiji University,female,0
Samir Otmane,"Full Professor / Professeur des Universités - Université d'Evry, Université Paris Saclay",19,40,1442,572,,female,0
Dagmar Kern,Senior Researcher at GESIS,18,27,1435,634,,female,0
Mary Beth Kery,Apple Inc.,14,17,1435,1277,,male,1
Vânia Paula de Almeida Neris,Federal University of Sao Carlos - UFSCar,18,49,1434,638,Federal University of Sao Carlos - UFSCar,female,0
Kerry Shih-Ping Chang,"PhD student of Human-Computer Interaction, Carnegie Mellon University",12,13,1434,1032,Carnegie Mellon University,male,1
Colin Swindells,University of British Columbia,20,25,1433,509,University of British Columbia,male,1
Fan Du,Adobe Research,23,38,1432,1195,,male,1
Matthew L. Lee,Toyota Research Institute,18,25,1431,718,Toyota Research Institute,female,0
Kellie Morrissey,"School of Applied Psychology, University College Cork",17,22,1430,1323,School of Applied Psychology,female,0
Souneil Park,Telefonica Research,15,21,1428,592,,male,1
Gokhan Ince,"Faculty of Computer and Informatics Engineering, Istanbul Technical University",20,43,1428,917,Faculty of Computer and Informatics Engineering,male,1
Eugenia Politou,"University of Piraeus, Department of Informatics",14,17,1427,1114,University of Piraeus,female,0
Nelson Wong,University of Saskatchewan,11,11,1426,411,University of Saskatchewan,female,0
Ana I. Martinez-Garcia,Centro de Investigación Científica y de Educación Superior de Ensenada,15,21,1426,389,,male,1
Maria Elizabeth Sucupira Furtado,university of fortaleza,18,44,1426,442,university of fortaleza,male,1
Alejandra Molina,"Interaction Designer, Google",7,7,1426,1426,,male,1
Roberto Pirrone,"Associate Professor of Computer Science, Dept. Engineering, Univ. Palermo",18,46,1424,544,,female,0
Claudia Roda,"Computer Science professor, American University of Paris",20,32,1422,381,American University of Paris,female,0
Alison M Smith-Renner,Dataminr,17,20,1421,1038,,male,1
Yim-Pan Chui,"Lecturer, The Chinese University of Hong Kong",19,29,1421,394,The Chinese University of Hong Kong,male,1
Yi-Ling Chen,Microsoft GenAI,14,16,1419,1105,,female,0
Ann Morrison,"Associate Professor, Auckland University of Technology, New Zealand, Aalborg University, Aalborg",17,30,1417,466,Auckland University of Technology,male,1
Jessica Schroeder,Google,14,17,1417,1187,,female,0
Dominik Schmidt,Cliqz GmbH,17,19,1415,415,,male,1
Shi Cao,University of Waterloo,21,40,1415,1110,University of Waterloo,male,1
Yingjie Chen,"Professor of Computer Graphics, Purdue University",19,32,1413,1148,Purdue University,male,1
Dieter P. Wallach,HSKL und Ergosign GmbH,19,28,1411,545,,female,0
Adalberto L. Simeone,"Associate Professor, KU Leuven",19,32,1410,1017,,male,1
Alexander Kulik,Bauhaus-Universität Weimar,18,24,1409,843,,male,1
Taiwoo Park,Amazon Alexa AI,19,28,1407,670,,female,0
Mark Micire,"Research Scientist, Carnegie Mellon University / NASA Ames",19,27,1404,268,Carnegie Mellon University,male,1
Rwitajit Majumdar,"Associate Professor, Kumamoto University, Japan",17,36,1403,1232,Kumamoto University,male,1
Mengjie Huang,Xi’an Jiaotong-Liverpool University,17,25,1403,1025,Xi’an Jiaotong-Liverpool University,female,0
Thomas Pederson,University West,21,29,1401,367,University West,female,0
Julian Frommel,"Assistant Professor, Utrecht University",18,29,1400,1271,Utrecht University,female,0
Michael J. Brzozowski,User experience researcher,14,14,1398,342,,male,1
Catalin Voss,"Computer Science, Stanford University",20,28,1397,1317,Stanford University,female,0
Toby Jia-Jun Li,"Assistant Professor, University of Notre Dame",22,29,1395,1276,University of Notre Dame,female,0
Angela Locoro,"Associate Professor, Department of Economics and Management, University of Brescia, Italy",17,26,1394,823,,female,0
Mario Romero,"Associate Professor, EECS, KTH",17,30,1393,655,,male,1
Debaleena Chattopadhyay,University of Illinois Chicago,13,18,1390,1003,University of Illinois Chicago,female,0
Takehiko Ohno,NTT TechnoCross,15,20,1390,231,,female,0
Jae-Hyun Jung,"NVIDIA Research, New Experience Group",22,35,1389,515,,male,1
Brittany I. Davidson,Associate Professor; University of Bath,12,13,1388,1376,University of Bath,female,0
Ravi Chugh,"Associate Professor, Computer Science, University of Chicago",15,18,1387,668,University of Chicago,female,0
